matricula,nome,hash_documento,data_nascimento,genero,raca_cor,escolaridade,estado_civil,num_dependentes,uf,cidade,distancia_km,data_admissao,data_desligamento,tipo_desligamento,motivo_desligamento,status
100001,Karina Vieira,abfe5593ac2fee7e,1972-09-13,Feminino,Parda,Superior Completo,Solteiro(a),1,SP,São Paulo,20.2,2013-06-01,,,,Ativo
100002,Renata Pereira,4f02ad3b0846ca9a,1972-04-27,Feminino,Parda,Pós-graduação,Solteiro(a),1,SP,São Paulo,18.2,2019-01-01,,,,Ativo
100003,Rafael Oliveira,39afb229421908ab,1998-09-22,Masculino,Parda,Superior Completo,Casado(a),1,SP,São Paulo,31.1,2020-01-01,,,,Ativo
100004,Renata Santos,d681c6d51d0e9072,1978-10-22,Feminino,Branca,Pós-graduação,Solteiro(a),0,PR,Curitiba,18.3,2019-02-01,2025-06-01,Voluntário,Pedido de demissão - insatisfação com liderança,Desligado
100005,Natália Nascimento,537299ab40dbb679,1996-06-16,Feminino,Preta,Superior Incompleto,Casado(a),1,BA,Salvador,12.7,2020-06-01,2023-09-01,Voluntário,Pedido de demissão - insatisfação com liderança,Desligado
100006,Bruno Jesus,14c8da8b4d05fa14,1992-05-15,Masculino,Parda,Superior Incompleto,Solteiro(a),0,MG,Belo Horizonte,4.6,2020-02-01,,,,Ativo
100007,Igor Jesus,b04dbf188a99388e,1984-11-08,Masculino,Branca,Superior Completo,Casado(a),0,BA,Salvador,4.8,2019-12-01,2025-07-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100008,Bruno Teixeira,9f65e8684ce81c76,1970-06-25,Masculino,Preta,Pós-graduação,Solteiro(a),1,SP,São Paulo,6.3,2010-04-01,2022-05-01,Voluntário,Pedido de demissão - insatisfação com liderança,Desligado
100009,Ana Queiroz,3e86694e319f4792,1979-03-05,Feminino,Preta,Superior Completo,Solteiro(a),0,SP,São Paulo,3.7,2016-08-01,,,,Ativo
100010,Helena Almeida,b258ee952967225b,1998-11-27,Feminino,Parda,Superior Incompleto,Solteiro(a),0,RJ,Rio de Janeiro,5.4,2017-08-01,,,,Ativo
100011,Sérgio Carvalho,2fc50d267bcc5cd2,1991-01-01,Masculino,Branca,Pós-graduação,Solteiro(a),2,BA,Salvador,9.3,2017-10-01,,,,Ativo
100012,Isabela Lima,2d94ca60f52eda43,1994-03-03,Feminino,Preta,Superior Completo,Solteiro(a),0,SP,São Paulo,4.0,2019-06-01,,,,Ativo
100013,Isabela Martins,fc909110b649d5c6,1986-08-12,Feminino,Branca,Ensino Médio,Solteiro(a),1,PE,Recife,6.3,2019-06-01,,,,Ativo
100014,Henrique Rodrigues,3620cd161ce774b0,1981-02-06,Masculino,Parda,Pós-graduação,Casado(a),1,MG,Belo Horizonte,9.2,2018-01-01,,,,Ativo
100015,Eduardo Ferreira,e5156b77f499caa8,1982-06-02,Masculino,Parda,Superior Completo,Casado(a),0,RJ,Rio de Janeiro,35.6,2020-02-01,2024-06-01,Involuntário,Dispensa sem justa causa - reestruturação,Desligado
100016,Vanessa Lima,2a4a36fa395d8d3f,1994-12-25,Feminino,Branca,Pós-graduação,Casado(a),0,RJ,Rio de Janeiro,18.4,2020-12-01,,,,Ativo
100017,Carlos Teixeira,a2f5721d2584b94f,1977-02-18,Masculino,Preta,Superior Incompleto,Casado(a),0,SP,São Paulo,17.6,2017-12-01,,,,Ativo
100018,Carlos Nascimento,cd23c0aa358680e1,1985-09-08,Masculino,Branca,Mestrado/Doutorado,Casado(a),1,SC,Florianópolis,42.3,2019-03-01,,,,Ativo
100019,Helena Vieira,e752c9a96b101672,1979-04-27,Feminino,Preta,Pós-graduação,Solteiro(a),0,SC,Florianópolis,6.6,2020-01-01,2021-07-01,Voluntário,Pedido de demissão - motivos pessoais,Desligado
100020,Felipe Vieira,ecc86286eed1aa05,1995-05-14,Masculino,Preta,Superior Completo,Solteiro(a),0,RS,Porto Alegre,9.3,2014-03-01,2022-05-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100021,Beatriz Nascimento,bbb43e0f5d383d27,1967-02-11,Feminino,Preta,Pós-graduação,Casado(a),1,SP,São Paulo,7.5,2016-05-01,2024-05-01,Involuntário,Dispensa sem justa causa - desempenho,Desligado
100022,Thiago Carvalho,bca8a45136226401,1984-04-19,Masculino,Branca,Superior Completo,Solteiro(a),1,SP,Campinas,14.9,2017-06-01,2021-11-01,Voluntário,Pedido de demissão - remuneração,Desligado
100023,Gustavo Lima,8166e1b74c8a3a57,1989-09-20,Masculino,Parda,Superior Completo,Casado(a),0,PR,Curitiba,12.5,2016-04-01,,,,Ativo
100024,Mariana Ibrahim,907447201825830c,1997-05-04,Feminino,Não informado,Superior Incompleto,Casado(a),0,RJ,Rio de Janeiro,2.7,2018-03-01,2021-01-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,Desligado
100025,Wagner Martins,12b2ed673a54ea69,1998-07-13,Masculino,Parda,Ensino Médio,Solteiro(a),0,SP,São Paulo,30.4,2020-05-01,2021-02-01,Voluntário,Pedido de demissão - motivos pessoais,Desligado
100026,Yasmin Rodrigues,13eae9dfcf6797d6,1985-03-31,Feminino,Branca,Superior Completo,Casado(a),1,PR,Curitiba,13.6,2020-02-01,2021-03-01,Involuntário,Dispensa sem justa causa - reestruturação,Desligado
100027,Ana Henriques,d697532c5a38e4b4,1979-04-16,Feminino,Branca,Superior Incompleto,Casado(a),0,SP,São Paulo,10.3,2014-12-01,,,,Ativo
100028,Nelson Jesus,3aa7ec00d89ed3d7,1977-12-20,Masculino,Branca,Pós-graduação,Casado(a),1,RJ,Rio de Janeiro,13.9,2018-11-01,2022-05-01,Voluntário,Pedido de demissão - insatisfação com liderança,Desligado
100029,Eduarda Martins,457f38a58486375b,1982-12-25,Feminino,Parda,Superior Completo,Casado(a),3,SP,São Paulo,17.2,2008-04-01,,,,Ativo
